File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF778YBM	tsv	tsv		gene quantifications	GRCh38	ENCSR000COK	polyA plus RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	2	2_1							/files/ENCFF940AZB/, /files/ENCFF149YKM/	9833883	ENCODE Processing Pipeline	d430f8253263bae190bb93c1264c84fd		https://www.encodeproject.org/files/ENCFF778YBM/@@download/ENCFF778YBM.tsv	V24			released	s3://encode-public/2016/07/07/8076a73c-47f3-4d98-9518-fbf2c370ad5e/ENCFF778YBM.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF180ZJI	tsv	tsv		gene quantifications	GRCh38	ENCSR000COK	polyA plus RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	2	2_1							/files/ENCFF285DRD/, /files/ENCFF822PIB/	10800281	ENCODE Processing Pipeline	b5d5c124080c36886b731a158ab2cc26		https://www.encodeproject.org/files/ENCFF180ZJI/@@download/ENCFF180ZJI.tsv	V29			released	s3://encode-public/2021/04/08/204f4cc9-6676-4191-ba5e-bc5f039a2821/ENCFF180ZJI.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF300NAD	tsv	tsv		gene quantifications	GRCh38	ENCSR000COK	polyA plus RNA-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	1	1_1							/files/ENCFF285DRD/, /files/ENCFF571MBJ/	10825004	ENCODE Processing Pipeline	662fcad84602530257a3e5727a3f0142		https://www.encodeproject.org/files/ENCFF300NAD/@@download/ENCFF300NAD.tsv	V29			released	s3://encode-public/2021/04/08/19b589fe-6676-410d-9a87-39fd1ab7abe4/ENCFF300NAD.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF822KRV	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTS	polyA plus RNA-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	4	4_1							/files/ENCFF940AZB/, /files/ENCFF083OWW/	9869000	ENCODE Processing Pipeline	b85efa39cc23179d569bf0ef1f0685cf		https://www.encodeproject.org/files/ENCFF822KRV/@@download/ENCFF822KRV.tsv	V24			released	s3://encode-public/2016/07/07/ebddcd40-ae74-4e7b-bd15-67bedae6f70a/ENCFF822KRV.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF845MXD	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTS	polyA plus RNA-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	3	3_1							/files/ENCFF940AZB/, /files/ENCFF198OEW/	9833344	ENCODE Processing Pipeline	fb9f00d003304eff55c61c7b9687d711		https://www.encodeproject.org/files/ENCFF845MXD/@@download/ENCFF845MXD.tsv	V24			released	s3://encode-public/2016/07/07/7af912f1-5a37-46ce-809a-4c33ade75241/ENCFF845MXD.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF731GNM	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTS	polyA plus RNA-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	3	3_1							/files/ENCFF778VYH/, /files/ENCFF285DRD/	10808591	ENCODE Processing Pipeline	df5ceb40dd3ec6c8d14b87a43ef9b77e		https://www.encodeproject.org/files/ENCFF731GNM/@@download/ENCFF731GNM.tsv	V29			released	s3://encode-public/2021/04/17/65355673-e510-4632-9418-14b08d861973/ENCFF731GNM.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF103IDM	tsv	tsv		gene quantifications	GRCh38	ENCSR000CTS	polyA plus RNA-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2012-06-21	ENCODE		see document	>200	4	4_1							/files/ENCFF074RGN/, /files/ENCFF285DRD/	10854448	ENCODE Processing Pipeline	e0c47d24b440816c14ffc5dd83533aed		https://www.encodeproject.org/files/ENCFF103IDM/@@download/ENCFF103IDM.tsv	V29			released	s3://encode-public/2021/04/17/b8bfb84e-728c-405d-8cc6-f44973a3a0f0/ENCFF103IDM.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF995GJP	tsv	tsv		gene quantifications	GRCh38	ENCSR000CPO	polyA plus RNA-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	1	1_1							/files/ENCFF940AZB/, /files/ENCFF792WWC/	9863782	ENCODE Processing Pipeline	646628317cc5e3a83e872fed33de899e		https://www.encodeproject.org/files/ENCFF995GJP/@@download/ENCFF995GJP.tsv	V24			released	s3://encode-public/2016/07/07/6cf4aa27-4786-4546-bf07-dae48beba1af/ENCFF995GJP.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF565TFI	tsv	tsv		gene quantifications	GRCh38	ENCSR000CPO	polyA plus RNA-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	2	2_1							/files/ENCFF940AZB/, /files/ENCFF357JET/	9851268	ENCODE Processing Pipeline	8b15253b1dbc21472d10b4f0295bbbcf		https://www.encodeproject.org/files/ENCFF565TFI/@@download/ENCFF565TFI.tsv	V24			released	s3://encode-public/2016/07/07/aa6de79b-e664-494e-aa7f-30bc12996a4f/ENCFF565TFI.tsv	ENCODE3 GRCh38 V24	archived			
ENCFF387YXX	tsv	tsv		gene quantifications	GRCh38	ENCSR000CPO	polyA plus RNA-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	1	1_1							/files/ENCFF285DRD/, /files/ENCFF566LKE/	10853092	ENCODE Processing Pipeline	2e5d4e6fd3649aed1874f9cadaf21197		https://www.encodeproject.org/files/ENCFF387YXX/@@download/ENCFF387YXX.tsv	V29			released	s3://encode-public/2021/04/08/9b0e0ca2-1570-42e6-b271-80144039e3a1/ENCFF387YXX.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF089PEL	tsv	tsv		gene quantifications	GRCh38	ENCSR000CPO	polyA plus RNA-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	2	2_1							/files/ENCFF462IPS/, /files/ENCFF285DRD/	10836203	ENCODE Processing Pipeline	0af2599efb3cb158e0dfd676362d7d28		https://www.encodeproject.org/files/ENCFF089PEL/@@download/ENCFF089PEL.tsv	V29			released	s3://encode-public/2021/04/08/53657c50-273a-45b1-af4b-fad755c6f236/ENCFF089PEL.tsv	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF627QMV	tsv	tsv		gene quantifications	GRCh38	ENCSR000CON	polyA plus RNA-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens											polyadenylated mRNA	rRNA				reverse	2011-10-17	ENCODE		see document	>200	2	2_1							/files/ENCFF940AZB/, /files/ENCFF490UBS/	9914936	ENCODE Processing Pipeline	ef387c57adcee5c45cadd61f09faafda		https://www.encodeproject.org/files/ENCFF627QMV/@@download/ENCFF627QMV.tsv	V24			released	s3://encode-public/2016/07/07/93076453-8a84-4b35-a28d-b7cf7ced5dd7/ENCFF627QMV.tsv	ENCODE3 GRCh38 V24	archived			
