# Jan, Williams, Weissman. Science, 2014.
# Table S6 Comprehensive 293/human annotation table
# See Materials and Methods for additional information on annotation derivation
#
# UCSC.gene.id: the ucsc gene id <string>
# uniprot.protein.id: the uniprot protein id <string>
# AA.length: the length of the gene in amino acids <integer>
# secretome: whether the gene is a member of the secretome <"yes" or "no">
# phobius: whether this gene was predicted to contain a TMD or signal peptide by Phobius <"yes" or "no">
# first.feature.start: the position, in amino acids, where the first Phobius-predicted hydrophobic feature begins <integer> or NA
# TMHMM: whether this gene was predicted to contain a TMD by TMHMM <"yes" or "no">
# SignalP: whether this gene was predicted to contain a signal peptide by SignalP <"yes" or "no">
# signalSequence: whether this gene has an ER signal anchor sequence, based on containing a TMD within the first 60 amino acids <"yes" or "no">
# signalAnchor:whether this gene has an ER signal sequence, based on a SignalP prediction or Phobius-predicted hydrophobic domain in the first 60 amino acids <"yes or "no">
# mitoCarta: whether this gene is annotated in MitoCarta <"yes" or "no">
# mito.GO: whether this gene is annotated with the term GO:005739 <"yes" or "no">
# pexDB: whether this gene is annotated as peroxisomal <"yes" or "no">
# input.count: refers to the number of raw sequencing counts mapped to the gene in the input library (for statistical reliability, see Ingolia 2009) <int>
# input.rpkm: is the input reads per kilobase per million, which corrects counts for total library sequencing reads and gene length <float>
# pulldown.count: refers to the number of raw sequencing counts mapped to the gene in the pulldown library <int>
# pulldown.rpkm: is the pulldown reads per kilobase per million, which corrects counts for total library sequencing reads and gene length <float>
# log2.enrichment: represents log2(pulldown.rpkm / total.rpkm) <float> or "NA"
#
#UCSC.gene.id	uniprot.protein.id	AA.length	secretome	phobius	first.feature.start	TMHMM	SignalP	signalSequence	signalAnchor	mitoCarta	mito.GO	pexDB	input.count	input.rpkm	pulldown.count	pulldown.rpkm	log2.enrichment
uc021oen.1	E7ERA6	249	yes	yes	197	yes	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001acu.2	Q96HA4-4	198	yes	yes	6	yes	yes	yes	no	no	no	no	54	25.3563807621	97	70.616192763	NA
uc001acv.3		137	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001acx.1	Q6ZQQ1	286	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001acy.2	Q6ZVT0	673	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001adc.3	Q9Y5U5	241	yes	yes	12	yes	yes	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001ade.3	P43489	277	yes	yes	13	yes	yes	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001adh.4	Q9BRK5	362	yes	yes	15	yes	yes	yes	no	no	no	no	204	52.3938475415	895	356.379094365	2.76594339378
uc001adk.3	Q96L58	329	yes	yes	12	yes	no	yes	no	no	no	no	140	39.5631472883	443	194.091083007	2.29450473521
uc001adl.2	Q5T7M4	302	yes	yes	5	yes	yes	yes	no	no	no	no	1	0.307858927575	0	0.0	NA
uc001ado.3	A8MYC7	275	yes	yes	244	yes	no	no	no	no	no	no	212	71.6740362874	84	44.0295601887	-0.702978168185
uc001adt.1	A6NNF7	802	yes	yes	252	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aeb.2	Q96P50	834	no	no	NA	no	no	no	no	no	no	no	33	3.6788034439	22	3.80237009167	NA
uc001aed.3	Q8N0Z8	303	no	no	NA	no	no	no	no	no	no	no	179	54.9248775803	112	53.2810959379	-0.0438359916085
uc001aee.1	Q5TA45	600	no	no	NA	no	no	no	no	no	no	no	228	35.3298905285	121	29.0691193508	-0.281401913291
uc001aeo.3	Q5TA50	214	no	no	NA	no	no	no	no	no	no	no	21	9.12355756392	14	9.43000704977	NA
uc010nyk.2	NP_689414	852	yes	yes	5	yes	yes	yes	no	no	no	no	1	0.109123704375	0	0.0	NA
uc001aer.4	O14640-2	670	no	no	NA	no	no	no	no	no	no	no	130	18.039614174	62	13.3387349186	-0.43554663904
uc001aew.3	Q9BRK3	442	yes	yes	12	yes	yes	yes	no	no	no	no	5	1.05173525031	31	10.1096746555	NA
uc009vkb.1	Q9NWT8	199	no	no	NA	no	no	no	no	yes	no	yes	761	355.541479664	503	364.344873959	0.0352868098984
uc001afi.2	Q96S94	520	yes	yes	3	no	no	yes	no	no	no	no	74	13.2308294489	43	11.9196325374	NA
uc001afm.3	B4DNA4	137	no	no	NA	no	no	no	no	no	no	no	38	25.7882412617	26	27.3558702945	NA
uc001afo.4	Q9BYC9	149	no	no	NA	no	no	no	no	yes	no	yes	468	292.023821394	290	280.549490656	-0.0578307659696
uc010nyo.2	NP_001138682	399	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc010nyp.2	A6NKF7	163	yes	yes	55	yes	no	no	yes	no	no	no	0	0.0	0	0.0	NA
uc001afs.3	Q6PCB0	445	yes	yes	2	no	yes	yes	no	no	no	no	60	12.5357388037	219	70.9384767888	NA
uc001aft.2	Q5T2N8	411	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001afv.3	Q5T9A4	648	no	no	NA	no	no	no	no	yes	no	yes	135	19.3694575266	78	17.3507140294	-0.158788514591
uc001aga.2	D2K8Q1	586	no	no	NA	no	no	no	no	yes	no	no	187	29.6689847711	107	26.3198807198	-0.17280260989
uc009vkf.3	Q5SV17	173	yes	yes	7	yes	no	no	yes	no	no	no	0	0.0	0	0.0	NA
uc001agd.3	Q9NP77	194	no	no	NA	no	no	no	no	no	no	no	489	234.350467559	320	237.763948	0.0208623035323
uc021oes.1	F2Z333	226	yes	yes	6	yes	yes	yes	no	no	no	no	44	18.1010151753	175	111.616233885	NA
uc001agg.3	F8WA73	1070	no	no	NA	no	no	no	no	no	no	no	34	2.95429483022	16	2.1554301828	NA
uc001agp.3	O75900	390	yes	yes	20	yes	no	no	yes	no	no	no	1	0.238393323404	0	0.0	NA
uc001agv.1	P21127-2	780	no	no	NA	no	no	no	no	no	no	no	188	22.4089724	72	13.3056363208	-0.752038986634
uc001ahg.4	P0CK96	405	yes	yes	75	yes	no	no	no	no	no	no	7	1.60694758739	7	2.49138457858	NA
uc001ahi.1		171	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aia.2	P0CK97	266	yes	yes	75	yes	no	no	no	no	no	no	0	0.0	4	2.16758486429	NA
uc001aie.3	Q5QPS4	591	no	no	NA	no	no	no	no	no	no	no	93	14.6303313703	39	9.51206657449	NA
uc001aif.3	P62873	340	no	no	NA	no	no	no	no	no	no	no	515	140.827350017	177	75.0398754267	-0.908198208391
uc001aih.1	Q8TD86	181	no	no	NA	no	no	no	no	no	no	no	1	0.513665171975	0	0.0	NA
uc001aij.2	Q8NDY8	209	yes	yes	13	yes	yes	yes	yes	no	no	no	5	2.2242439265	35	24.1390132614	NA
uc001aik.3	Q69YW0	305	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aim.1	Q9C0B2	762	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aip.2	O14764	452	yes	yes	7	yes	yes	yes	no	no	no	no	4	0.822773417058	6	1.91342115232	NA
uc001aiq.3	Q05513	592	no	no	NA	no	no	no	no	no	no	no	35	5.49673794673	11	2.67835866254	NA
uc001aix.2	Q6ZRT9	230	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aiy.3	NP_872339	180	no	no	NA	no	no	no	no	no	no	no	114	58.8831508808	78	62.4625705058	0.0851370682958
uc001aiz.1	Q8N9S5	180	no	no	NA	no	no	no	no	no	no	no	2	1.03303773475	0	0.0	NA
uc001aja.4	P12755	728	no	no	NA	no	no	no	no	no	no	no	71	9.06746033662	55	10.8900297268	NA
uc001ajb.1	Q5T089	497	no	no	NA	no	no	no	no	no	no	no	11	2.0577612825	6	1.74017376429	NA
uc010nyy.2	Q5T088	167	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aje.2	O15258	196	yes	yes	41	yes	no	no	yes	no	no	no	249	118.114161407	366	269.167591897	1.18832276981
uc001ajh.3	O60683	326	yes	yes	215	yes	no	no	no	no	yes	no	70	19.9636126654	68	30.0669287003	NA
uc001aji.1	O75038	1415	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001ajm.1	Q9NVE7	773	no	no	NA	no	no	no	no	no	no	no	86	10.3437413544	27	5.03479770223	NA
uc001ajn.3	Q5TA89	166	no	no	NA	no	no	no	no	no	no	no	3	1.68024209869	3	2.60501915919	NA
uc021oev.1		136	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001ajt.1		395	yes	yes	4	no	no	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001ajr.3	Q92956	283	yes	yes	201	yes	yes	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aju.2	NP_689584	198	no	no	NA	no	no	no	no	no	no	no	32	15.0260034146	29	21.1120576302	NA
uc001ajy.2	Q495T6	779	yes	yes	29	yes	no	no	yes	no	no	no	0	0.0	0	0.0	NA
uc021oey.1	A8MYJ7	566	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001ajz.3	Q8TDY3	377	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc010nzg.1		157	yes	yes	20	no	no	no	yes	no	no	no	0	0.0	0	0.0	NA
uc001akf.3	Q9HAZ2	1276	no	no	NA	no	no	no	no	no	no	no	29	2.11303173017	12	1.35558990729	NA
uc001akg.4	Q5VV41	709	no	no	NA	no	no	no	no	no	no	no	18	2.36039651664	5	1.01653309926	NA
uc001akl.3	O75095	1541	yes	yes	13	yes	yes	yes	no	no	no	no	3	0.180999473318	5	0.46769757779	NA
uc001akm.3	Q5T0D9	272	no	no	NA	no	no	no	no	no	no	no	46	15.7234419922	21	11.1287950845	NA
uc001ako.3	Q9P2S5	460	no	no	NA	no	no	no	no	no	no	no	187	37.7957066866	131	41.0498164027	0.119153405252
uc001akp.3	O15350	636	no	no	NA	no	no	no	no	no	no	no	29	4.23935296808	14	3.17298979347	NA
uc001akv.2	Q2M243	656	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001akw.4	B2RUZ4	78	yes	yes	49	yes	no	no	yes	no	no	no	2	2.38393323404	1	1.84800504455	NA
uc001akx.1	Q8N1G4	583	no	no	NA	no	no	no	no	no	no	no	333	53.1048729168	223	55.1358486191	0.0541463964481
uc001aky.2	O60308	925	no	no	NA	no	no	no	no	no	no	no	33	3.31688872671	14	2.18164487422	NA
uc001alc.3	O76075	338	no	no	NA	no	no	no	no	no	no	no	84	23.1058144222	42	17.9114335087	NA
uc001alf.3	Q8IYL3	243	no	no	NA	no	no	no	no	no	no	no	194	74.2256742747	100	59.3186804424	-0.323431788813
uc001aln.3	Q9UKB5	411	yes	yes	283	yes	yes	no	no	no	no	no	0	0.0	0	0.0	NA
uc001alo.4		142	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001alq.2	O75161	1426	no	no	NA	no	no	no	no	no	no	no	24	1.5647696403	13	1.3140793234	NA
uc001aly.2	Q13303-3	415	no	no	NA	no	no	no	no	no	no	no	14	3.13645191756	8	2.77868710313	NA
uc001amb.2	Q8TDI0	1954	no	no	NA	no	no	no	no	no	no	no	1	0.0475810625013	0	0.0	NA
uc001amd.3	P35268	128	no	no	NA	no	no	no	no	no	no	no	3349	2432.56174712	1338	1506.75936304	-0.69102739647
uc001amg.3	Q6ZRF8	634	no	no	NA	no	no	no	no	no	no	no	3	0.439937205651	0	0.0	NA
uc001amk.3	O60725	284	yes	yes	16	yes	no	no	yes	no	no	no	345	112.943034028	811	411.623602494	1.86573041615
uc009vly.2	Q5TGS1	186	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001amp.2	Q6NV75	609	yes	yes	12	yes	no	no	yes	no	no	no	1	0.152665675086	3	0.710070903818	NA
uc001ams.3	O00154	380	no	no	NA	no	no	no	no	no	no	yes	248	60.6773743148	102	38.6913898275	-0.649146104815
uc001amx.3	Q9Y543	173	no	no	NA	no	no	no	no	no	no	no	1	0.537418474726	1	0.833204586561	NA
uc001amy.3	B1AK53	854	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001ane.3	Q93038	417	yes	yes	8	yes	yes	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001ano.1	O94827	1062	no	no	NA	no	no	no	no	no	no	no	10	0.875455707416	3	0.407187552189	NA
uc001ans.3	NP_078930	702	no	no	NA	no	no	no	no	no	no	no	327	43.3081204184	144	29.5680807128	-0.550596960458
uc001ant.3	Q7RTX1	841	yes	yes	2	yes	yes	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001anx.3	P10074	688	no	no	NA	no	no	no	no	no	no	no	32	4.32434400593	27	5.65682939509	NA
uc001aoa.3	Q9UJP4	597	yes	yes	5	no	no	yes	no	no	no	no	130	20.2454631434	127	30.663882699	0.598941737338
uc001aob.4	Q86YI8	300	no	no	NA	no	no	no	no	no	no	no	51	15.8054773417	42	20.1802150865	NA
uc001aod.3	Q8WTV1-3	238	no	no	NA	no	no	no	no	no	no	no	48	18.7509370341	38	23.014651059	NA
uc001aof.2	Q9NVH1	559	no	yes	388	no	no	no	no	yes	no	yes	264	43.9087237526	113	29.1383120978	-0.591590293346
uc001aoi.3	Q9Y6Y1	1673	no	no	NA	no	no	no	no	no	no	no	286	15.8938381904	129	11.1145407999	-0.516019217762
uc001aol.3	Q15836	100	yes	yes	78	yes	no	no	no	no	no	no	195	181.298122449	73	105.225407237	-0.784880891269
uc001aoo.3	P56645	1201	no	no	NA	no	no	no	no	no	no	no	2	0.154826638014	0	0.0	NA
uc001aos.3	O95399-2	139	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aot.3	Q07011	255	yes	yes	187	yes	yes	no	no	no	no	no	11	4.01061708786	33	18.6539803321	NA
uc001aox.4	Q99497	189	no	no	NA	no	no	no	no	yes	no	yes	1701	836.760565148	893	681.063192451	-0.297026196942
uc001aoz.3	Q9UJM3	462	no	no	NA	no	no	no	no	no	no	no	115	23.1427284733	15	4.68001277516	-2.30597459174
uc001apb.3	Q9Y2W3	748	yes	yes	87	yes	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001apf.3	Q9P2R6	1566	no	no	NA	no	no	no	no	no	no	no	134	7.95557795728	56	5.15458878327	-0.626109404802
uc001apg.1		120	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001apj.2	P06733	434	no	no	NA	no	no	no	no	no	no	no	7787	1668.16551992	3242	1076.76526186	-0.631558671809
uc009vmm.2		124	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001apm.3	P23280	308	yes	yes	3	no	yes	yes	no	no	no	no	0	0.0	0	0.0	NA
uc009vmo.1	Q6PXP3	512	yes	yes	21	yes	no	no	yes	no	no	no	0	0.0	0	0.0	NA
uc001apo.3	P22732	501	yes	yes	12	yes	no	no	yes	no	no	no	0	0.0	1	0.28771336023	NA
uc001apq.1	Q5UAW9	335	yes	yes	16	yes	no	no	yes	no	no	no	4	1.11013010302	34	14.6295802333	NA
uc001aps.3		302	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc009vmq.3		130	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001apt.3	O95479	791	no	yes	5	no	yes	yes	no	no	no	yes	21	2.46832025117	112	20.4098256248	NA
uc010oae.2	Q96BD6	273	no	no	NA	no	no	no	no	no	no	no	8	2.72449512462	6	3.1680086478	NA
uc001apw.3	Q9BSK2	321	no	yes	12	yes	no	no	yes	yes	no	yes	85	24.6191235852	45	20.2071579638	NA
uc021ofy.1	Q5SNT2	666	yes	yes	12	yes	no	no	yes	no	no	no	167	23.3131488788	331	71.639330691	1.61960797793
uc001aqb.4	O00329	1044	no	no	NA	no	no	no	no	no	no	no	7	0.623384839936	2	0.276138684818	NA
uc001aqc.4	Q5SR53	167	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aqh.3	O94985	981	yes	yes	8	yes	yes	yes	no	no	no	no	400	37.9096416422	1599	234.950953279	2.63172289731
uc001aql.1	Q9NSA3	81	no	no	NA	no	no	no	no	no	no	no	43	49.356247327	21	37.3707686787	NA
uc001aqm.3	Q8WZA0	190	no	no	NA	no	no	no	no	no	no	no	66	32.2960218127	23	17.4490581575	NA
uc001aqp.3	Q9HAN9	279	no	no	NA	no	no	no	no	no	no	no	25	8.3309494738	17	8.78299171711	NA
uc001aqq.3	Q96R05	134	no	no	NA	no	no	no	no	no	no	no	10	6.93831314385	1	1.07570442892	NA
uc001aqs.4	O95155	1302	no	no	NA	no	no	no	no	no	no	no	175	12.4964242107	60	6.64259877765	-0.911695652625
uc001aqw.4	O60333-2	1770	no	no	NA	no	no	no	no	yes	no	no	127	6.67097249051	30	2.44312531314	-1.44916922756
uc001arc.3	P52209	483	no	no	NA	no	no	no	no	no	no	no	1117	215.013009264	503	150.11310542	-0.51837401708
uc021ogd.1	Q8N2Z9-3	77	no	no	NA	no	no	no	no	no	no	no	17	20.5265939502	6	11.2320306604	NA
uc001arj.3	O00273	331	no	no	NA	no	no	no	no	no	no	no	734	206.170612561	308	134.128317795	-0.620224848555
uc001arn.3	O75381	377	yes	yes	109	no	no	no	no	no	yes	no	104	25.6478334145	89	34.0287825445	0.407918576425
uc001aro.3	Q86V15	1759	no	no	NA	no	no	no	no	no	no	no	20	1.05711649946	14	1.14725497933	NA
uc010oao.2	NP_001164225	823	yes	yes	6	no	yes	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001art.3	Q13148	414	no	no	NA	no	no	no	no	no	no	no	757	170.002079393	273	95.0517377263	-0.838767485469
uc001aru.3	O00187	686	yes	yes	3	no	yes	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001arz.1	P19623	302	no	no	NA	no	no	no	no	no	no	no	870	267.83726699	596	284.470392421	0.0869217933261
uc001asa.3	Q01780	885	no	no	NA	no	no	no	no	no	no	no	332	34.8781553834	146	23.7797530479	-0.552590008863
uc001asd.3	P42345	2549	no	no	NA	no	no	no	no	no	no	yes	349	12.7295862097	154	8.70860596122	-0.547671821916
uc001ase.3	O43827	346	yes	yes	6	yes	yes	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001asg.3	Q9Y5Z9	338	no	yes	46	yes	no	no	yes	no	no	yes	134	36.8592753879	219	93.3953318669	1.34132273274
uc001ash.4	Q9P2K9	1392	yes	yes	74	yes	no	no	no	no	no	no	1	0.0667912328503	4	0.414208027227	NA
uc001asj.3	Q9UK22	296	no	no	NA	no	no	no	no	no	no	no	2	0.628198622484	0	0.0	NA
uc001asm.3	Q9H4M3	255	no	no	NA	no	no	no	no	no	no	no	19	6.92742951539	21	11.8707147568	NA
uc001aso.3	Q9NRD1	293	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc009vnc.3	Q9UI95	211	no	no	NA	no	no	no	no	no	no	no	277	122.055121931	242	165.322005786	0.437745934814
uc001asr.1	Q8NBI3	349	yes	yes	12	yes	yes	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001asv.3	Q6RW13	159	yes	yes	16	yes	no	no	yes	no	no	no	149	87.1260127233	322	291.915061	1.74437322125
uc001asz.3	Q5SNV9	745	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001atc.2	P42898	656	no	no	NA	no	no	no	no	no	no	no	31	4.39355987798	24	5.27357537104	NA
uc001ate.4	NP_001277	869	yes	yes	81	yes	no	no	no	no	no	no	20	2.13977896726	23	3.81509902178	NA
uc001ati.3	NP_006163	151	yes	yes	9	yes	yes	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001atj.3	P16860	134	yes	yes	10	no	yes	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001atk.3	Q8IYS2	634	yes	yes	22	yes	no	yes	no	no	no	no	128	18.7706541078	523	118.907756762	2.66329199984
uc001atm.3	Q02809	727	yes	yes	4	no	yes	yes	no	no	no	no	200	25.5772754134	1034	205.014171737	3.00278914413
uc009vni.3	O95140	757	no	yes	629	yes	no	no	no	yes	no	yes	160	19.6509159583	42	7.99744323111	-1.29698580851
uc001ato.2	Q5JXC2	388	no	no	NA	no	no	no	no	no	no	no	105	25.1603262716	52	19.318320775	-0.381180935924
uc001atq.3	NP_001234	595	yes	yes	3	yes	yes	yes	no	no	no	no	4	0.625031234471	1	0.242259484832	NA
uc001att.3	P20333	461	yes	yes	4	yes	yes	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001atv.3	NP_056193	4388	no	no	NA	no	no	no	no	no	no	no	38	0.805147915416	14	0.459895512454	NA
uc001auc.3	O75911	302	yes	yes	6	yes	no	no	yes	no	no	no	17	5.23360176877	70	33.41095213	NA
uc001auf.3	Q5VUY2	407	yes	yes	6	yes	no	no	yes	no	no	no	0	0.0	0	0.0	NA
uc009vnn.1	Q5VUY0	350	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001auh.3	Q8N1D5	194	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aui.3	O95522	483	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001auj.2	O95521	474	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001auk.2	O60813	436	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc009vno.2	B7ZW38	293	no	no	NA	no	no	no	no	no	no	no	4	1.26926138058	1	0.491960387287	NA
uc001aum.1	O60811	474	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aun.2	O60810	478	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001auo.3	O60809	474	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aup.3	Q5VWM4	474	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001auq.2	Q5VXH4	476	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc009vnq.1	A3QJZ6	481	yes	yes	11	no	no	yes	no	no	no	no	0	0.0	0	0.0	NA
uc010obg.2	NP_001130033	293	no	no	NA	no	no	no	no	no	no	no	1	0.317315345145	0	0.0	NA
uc001aut.1	A3QJZ6	481	yes	yes	11	no	no	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001auu.1	Q5VXH4	476	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001auv.3	Q5VWM4	474	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001auw.1	Q5VWM5	478	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc010obi.1	Q5VWM6	474	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc009vnu.1	Q5VWM3	479	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001aux.3	Q5VWM1	474	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc009vnv.1	Q5VT98	475	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001auy.2	Q5VWM4	474	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001ava.1	Q5VWM5	478	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc009vnw.1	Q5SWL7	426	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc009vny.1	Q5VWM3	479	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc009vnz.1	Q5VTA0	474	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc009voa.1	Q5VT98	475	no	no	NA	no	no	no	no	no	no	no	0	0.0	0	0.0	NA
uc001avb.3	Q5VT99	294	yes	yes	7	yes	yes	yes	no	no	no	no	0	0.0	0	0.0	NA
uc001avd.3	Q86YL7-3	238	yes	yes	49	yes	no	no	yes	no	no	no	176	68.7534357918	397	240.442538696	1.80618844211
uc001avi.3	Q13029	1718	no	no	NA	no	no	no	no	no	no	no	96	5.19525379991	23	1.92975614082	NA
uc001avm.4	Q674X7	775	no	no	NA	no	no	no	no	no	no	no	27	3.23907315541	7	1.30194936042	NA
